"","dataset$jerKR"
"1",0.0388931308467027
"2",0.0150376863893558
"3",0.00935421976772524
"4",0.0315872685330849
"5",0.0427724859624353
"6",0.0413020727351964
"7",0.0508080947655538
"8",0.0455018632538404
"9",0.00808977755922865
"10",0.0281416959513126
"11",0.0686625564726402
"12",0.0178094472184758
"13",0.320961232686271
"14",0.122032873046672
"15",0.251572894170685
"16",0.154287682298768
"17",0.0422625500141963
"18",0.169159618781702
"19",0.254165894500599
"20",0.400300512256952
"21",0.450136020161301
"22",0.342831678753543
"23",0.58829327043847
"24",0.122838412546219
"25",0.380914260481871
"26",0.758240192265567
"27",0.803708862289615
"28",0.295669865686713
"29",0.230542802651797
"30",0.151474547063783
"31",0.813852871891937
"32",0.252418943105939
"33",0.0268461508575711
"34",0.0449865572825405
"35",0.0551980705975668
"36",0.0642560020459427
"37",0.041057682625294
"38",0.0191732889142325
"39",0.00724333217931898
"40",0.0452634918946169
"41",0.0278619862266477
"42",0.0231167239024628
"43",0.0365733890056959
"44",0.0119958386285725
"45",0.124012645575378
"46",0.093937128634974
"47",0.138967871476391
"48",0.061781646789292
"49",0.00763487533725727
"50",0.0300030036088717
"51",0.138172243093231
"52",0.0461567898247217
"53",0.313688743804561
"54",0.098832751604862
"55",0.129938628204904
"56",0.105307557799288
"57",0.536350587109306
"58",0.249594995743986
"59",0.192709260247968
"60",0.310496535398075
"61",0.0777251010951892
"62",0.678493836114537
"63",0.24105694740066
"64",0.437081746383398
"65",0.696949416040627
"66",0.22290872020385
"67",0.964753439175407
"68",0.649666146747521
"69",0.265631146018423
"70",0.24321868802624
"71",0.314294475197738
"72",0.115671341902449
"73",0.10405046783713
"74",0.0820070277383676
"75",0.0441633940160355
"76",0.0345768216397657
"77",0.0354642810213077
"78",0.0294772819552593
"79",0.061327753699171
"80",0.029754432809875
"81",0.085578994084397
"82",0.0663789271357068
"83",0.023335849675683
"84",0.0209442432307616
"85",0.0280970418669343
"86",0.12502015560669
"87",0.151859494824271
"88",0.17587355318424
"89",0.104375119969559
"90",0.0671533277095857
"91",0.32229148470758
"92",0.707600586478599
"93",0.316829558567526
"94",0.569487161356074
"95",0.46392411299653
"96",0.0779579943100821
"97",0.297480212185829
"98",0.0196999836592721
"99",0.0472812870698278
"100",0.0810961060413048
"101",0.422680822191617
"102",0.437306638624334
"103",0.492220746727295
"104",0.527772642017468
"105",0.137949837641497
"106",0.266732649473511
"107",0.197262030671698
"108",0.078147855259642
"109",0.161036143426757
"110",0.0633484681486633
"111",0.410282772439831
"112",0.343394630164349
"113",0.425724255731022
"114",0.608448913168601
"115",0.318312477821625
"116",0.48131167102071
"117",0.614235851845316
"118",0.178686364055415
"119",0.362502757993387
"120",0.236045346348828
"121",0.198740048428238
"122",0.341742681325316
"123",0.276230634489488
"124",0.581799470941003
"125",0.675371834452497
"126",0.30274096068343
"127",0.201356943558751
"128",0.281263643552718
"129",0.13665166159686
"130",0.460849504491033
"131",0.282625034499695
"132",0.190051639439208
"133",0.444597039596388
"134",0.410669954706559
"135",0.236631760075154
"136",0.567368489036251
"137",0.318490913957022
"138",0.638502625652953
"139",0.130082573655272
"140",0.653474033703995
"141",0.488412066881511
"142",0.472378835881355
"143",0.260416457181707
"144",0.40901169879346
"145",0.377946692033358
"146",0.441242793447073
"147",0.220048624297401
"148",0.256378884608007
"149",0.0937120922323445
"150",0.38845802562921
"151",0.378967284738301
"152",0.50497628143707
"153",0.282593138725139
"154",0.468236962322837
"155",0.309225533832551
"156",0.1194481620141
"157",0.510733054279544
"158",0.199335976826296
"159",0.618498821225878
"160",0.143741677815772
"161",0.17778088446226
"162",0.353391414637789
"163",0.569051757003069
"164",0.575886390782993
"165",0.610731785656647
"166",0.355897305264763
"167",0.109947221683418
"168",0.132393593713858
"169",0.13326876331108
"170",0.122683258524227
"171",0.123439891169455
"172",0.0339463665162556
"173",0.0298475252230704
"174",0.0914663413802228
"175",0.0166432512036961
"176",0.107672458290598
"177",0.0422270141568945
"178",0.0558232638192858
"179",0.0128443022721829
"180",0.0094881099400136
"181",0.0228739556116056
"182",0.0215189077791163
"183",0.0330302910386713
"184",0.0204665274208875
"185",0.217377848734163
"186",0.131286179629362
"187",0.249507669798507
"188",0.26015761486209
"189",0.129127898884412
"190",0.287575619115004
"191",0.532085491343775
"192",0.452103358743994
"193",0.538936847880077
"194",0.330218611836785
"195",0.738349843090809
"196",1
"197",0.19164314848849
"198",0.722744556076051
"199",0.578135637556168
"200",0.129130637956577
"201",0.115241271532081
"202",0.0766795684173735
"203",0.112361605675819
"204",0.102800874283003
"205",0.0653742282574073
"206",0.0293737017789048
"207",0.0313254348583406
"208",0.0880294545404482
"209",0.0110235761311773
"210",0.0622999080752965
"211",0.0293539155865532
"212",0.0436712259964474
"213",0.0131623590071613
"214",0.0583562928849501
"215",0.0304724661618268
"216",0.00565553529362962
"217",0.0430186060126526
"218",0.0899039169524852
"219",0.052694018032177
"220",0.183168423168773
"221",0.023499833601366
"222",0.300975124106999
"223",0.541176652062366
"224",0.419625459272123
"225",0.315922349034055
"226",0.0853173406117689
"227",0.211562185840136
"228",0.328211881071505
"229",0.153721523290295
"230",0.731266206026809
"231",0.606492747117108
"232",0.415253179287915
"233",0.433457593504535
"234",0.249375942051613
"235",0.0918797971154831
"236",0.0597792408747991
"237",0.11507418813
"238",0.0621898406227612
"239",0.0662882494308676
"240",0.0254414393218749
"241",0.046380528772115
"242",0.0580178372704252
"243",0.034289831749609
"244",0.00481247771350329
"245",0.01215261446961
"246",0.102811145803622
"247",0.126953724312819
"248",0.0744278708954193
"249",0.0561350134801995
"250",0.0779618145949442
"251",0.0339991296958599
"252",0.0460283057159174
"253",0.0685276571685014
"254",0.0726860732812809
"255",0.116114711188987
"256",0.0492374170808973
"257",0.105680071613763
"258",0.1657659804498
"259",0.541733945126726
"260",0.577484062744647
"261",0.960326954394665
"262",0.554771676350368
"263",0.819937360302814
"264",0.129506359368719
"265",0.432883433522106
"266",0.489640288464664
"267",0.919770774258574
"268",0.348929790444401
"269",0.115369719600462
"270",0.329945281267031
"271",0.429224717877369
"272",0.425306943670476
"273",0.625046897600724
"274",0.327050406352168
"275",0.299780167834485
"276",0.174994959746812
"277",0.100092003992414
"278",0.0939133059152209
"279",0.0318116562080962
"280",0.254125601307431
"281",0.138185361807286
"282",0.466140418822875
"283",0.463612038971807
"284",0.251844278557584
"285",0.369139565890219
"286",0.121069116089159
"287",0.280672508530948
"288",0.350197260048448
"289",0.322482066465604
"290",0.289475958550918
"291",0.454595986495221
"292",0.208824375089696
"293",0.342696274883479
"294",0.31103948437399
"295",0.451282321862459
"296",0.362551556726437
"297",0.258455389632655
"298",0.205149549375776
"299",0.0979804316359663
"300",0.239319222354346
"301",0.178712601483525
"302",0.187637904174425
"303",0.227347638930606
"304",0.470681331947363
"305",0.282850323185287
"306",0.22748394381125
"307",0.523241027322173
"308",0.406534099898719
"309",0.346966127984877
"310",0.0332468939822657
"311",0.200612384455304
"312",0.103660942942892
"313",0.833143292181657
"314",0.677839666392543
"315",0.357857724086197
"316",0.474797436603274
"317",0.640751836385705
"318",0.391335493019655
"319",0.539378667428417
"320",0.640520312706894
"321",0.612408962791939
"322",0.185378205678515
"323",0.466346930447966
"324",0.352518407465961
"325",0.0721952387573521
"326",0.23731231138695
"327",0.306849713093003
"328",0.263671087601222
"329",0.581503218662077
"330",0.516431189353428
"331",0.370258008344223
"332",0.563172266519506
"333",0.0244359835946877
"334",0.19819237815688
"335",0.106308688675688
"336",0.18238760739956
"337",0.0614950533437908
"338",0.180094679633434
"339",0.145654451197699
"340",0.0851226862859198
"341",0.0830367747108098
"342",0.0176418952908934
"343",0.0555236958214229
"344",0.0512049719061297
"345",0.0495495631864664
"346",0.0472647805559898
"347",0.0292333603708588
"348",0.0409801957153559
"349",0.0219815586920815
"350",0.140592285432079
"351",0.141420061872757
"352",0.229422738378747
"353",0.172174544346335
"354",0.191450692628458
"355",0.198373373162326
"356",0.0890039155036602
"357",0.318290673365572
"358",0.0985864513525286
"359",0.625362539627346
"360",0.216554325063426
"361",0.459579836421169
"362",0.0850800504652422
"363",0.232888493597527
"364",0.20603758540409
"365",0.281165036954769
"366",0.341637983895841
"367",0.237265494877178
"368",0.262554050723724
"369",0.108456986223404
"370",0.201322921399225
"371",0.145074668909246
"372",0.15256030085392
"373",0.244630427444465
"374",0.127806116362561
"375",0.153990348807145
"376",0.169685628758701
"377",0.108805533156433
"378",0.175465719755003
"379",0.104557989077013
"380",0.261686882100459
"381",0.275256569970932
"382",0.193376224320207
"383",0.369930833382168
"384",0.259034379031797
"385",0.293809098635502
"386",0.0898781480498779
"387",0.213810675764423
"388",0.144828873222838
"389",0.20214954454636
"390",0.159794911250818
"391",0.248708365292179
"392",0.0560139176581567
"393",0.118941830108184
"394",0.0175659220787309
"395",0.00960325909222391
"396",0.064575788721236
"397",0.0483590038455852
"398",0.0610681905710901
"399",0.196498946790712
"400",0.117093713245526
"401",0.114109890566138
"402",0.104432676525452
"403",0.215854420044357
"404",0.49695818827964
"405",0.29804164989886
"406",0.373888684539689
"407",0.254357485390474
"408",0.227627132412731
"409",0.135185573220409
"410",0.180857835595266
"411",0.125447919389971
"412",0.339528537924364
"413",0.187363240109012
"414",0.159002562546172
"415",0.169747906610037
"416",0.0683008908255571
"417",0.133329923909296
"418",0.121702742769913
"419",0.177713164507016
"420",0.0988520692717117
"421",0.227143253690485
"422",0.18754146000187
"423",0.518882947264716
"424",0.157277992254336
"425",0.508859600999358
"426",0.253284634071852
"427",0.342955117203096
"428",0.0370140913009158
"429",0.114728704632946
"430",0.0531984758360856
"431",0.0891990383550113
"432",0.126396827693115
"433",0.0429010421520861
"434",0.0882418047141018
"435",0.0542666058592646
"436",0.042990242199573
"437",0.0521487985095987
"438",0.0503275317622448
"439",0.057346260024013
"440",0.0304100081083744
"441",0.12365292611115
"442",0.00749842629491979
"443",0.105827116540529
"444",0.0563120800795138
"445",0.0543718078546642
"446",0.165100169671104
"447",0.108438677688405
"448",0.26869883476266
"449",0.460919422912094
"450",0.412251048073528
"451",0.445512322184661
"452",0.231046323404701
"453",0.398472469910031
"454",0.146050066923462
"455",0.116540204425605
"456",0.135019715192718
"457",0.114281226738159
"458",0.0636990693858157
"459",0.215500719330807
"460",0.15005423002483
"461",0.0894024865441278
"462",0.214446861315226
"463",0.258648638381998
"464",0.3956389357955
"465",0.289108418314849
"466",0.268528039196988
"467",0.500754326058141
"468",0.285413409963923
"469",0.653926989743112
"470",0.358376850342359
"471",0.300230348761013
"472",0.125426114933919
"473",0.117070034687466
"474",0.0573770745858721
"475",0.0469535715014246
"476",0.152048166439864
"477",0.0922377145585506
"478",0.134408217331825
"479",0.0971094066874159
"480",0.185188885335303
"481",0.32348705366729
"482",0.172331788712875
"483",0.338728873013803
"484",0.188053125890424
"485",0.713340204079617
"486",0.249782297823497
"487",0.323770763878933
"488",0.201007747898104
"489",0.257062607477047
"490",0.244094109906424
"491",0.101280328827055
"492",0.158026840168147
"493",0.319445913091691
"494",0.398813196071219
"495",0.116823085707514
"496",0.139405942820715
"497",0.156568752765652
"498",0.526094888235404
"499",0.221601858417216
"500",0.14960112982402
"501",0.0711381010632574
"502",0.135476960042199
"503",0.125630932659118
"504",0.105717553653919
"505",0.0536476836711871
"506",0.137763436572567
"507",0.154231675481073
"508",0.18715481834149
"509",0.0450374103197139
"510",0.129749307861692
"511",0.301220775631715
"512",0.331711225964732
"513",0.401556737248952
"514",0.620748284241592
"515",0.882064130184928
"516",0.18192333466755
"517",0.248710419596303
"518",0.16767129346412
"519",0.348487358208866
"520",0.435505554513987
"521",0.449077981456626
"522",0.354675282634405
"523",0.426841508851059
"524",0.345915657769079
"525",0.341272461923473
"526",0.287114085455159
"527",0.15039553283279
"528",0.00212825907240168
"529",0.00946652172650062
"530",0.0064203491149301
"531",0.00519407371463092
"532",0.0109602891479907
"533",0.00704384843675745
"534",0.115468218077141
"535",0.00429461287215431
"536",0.0658016676768797
"537",0.009826169109883
"538",0.0185994893360352
"539",0.0541875331707045
"540",0.0646276148498365
"541",0.138641020878145
"542",0.0516906526495369
"543",0.0285163001103341
"544",0.0871981100978706
"545",0.117778301084723
"546",0.00792391953153793
"547",0.0564081278074138
"548",0.0292453978722167
"549",0.0936747183134581
"550",0.039189094802243
"551",0.0415617079441238
"552",0.112610608959894
"553",0.273054319909645
"554",0.35569501036919
"555",0.38755953787816
"556",0.240328354204703
"557",0.654551534237213
"558",0.260709646024658
"559",0.273491958768891
"560",0.259997307059576
"561",0.571561900399984
"562",0.283875348862287
"563",0.376794551783637
"564",0.216398197950006
"565",0.167760673713723
"566",0.0811513199696886
"567",0.00619098786151338
"568",0.104605238071863
"569",0.233334493834961
"570",0.147323230914379
"571",0.109010855447557
"572",0.141712565947667
"573",0.239603437131915
"574",0.391758751750033
"575",0.226193336255491
"576",0.347560254361774
"577",0.250710158519477
"578",0.358789441107462
"579",0.450887246743045
"580",0.679562470703641
"581",0.360052477739452
"582",0.300870606879641
"583",0.117700597932246
"584",0.0634491650911596
"585",0.14145761599376
"586",0.037357664655539
"587",0.0537555886983287
"588",0.0453263103523016
"589",0.0508833111288286
"590",0.248382631947053
"591",0.054482740277357
"592",0.356948964814528
"593",0.116248240957043
"594",0.243926305695879
"595",0.0512109185759621
"596",0.108713125511278
"597",0
"598",0.0528012022508542
"599",0.0915700296778469
"600",0.0296622414072603
"601",0.116252601848254
"602",0.0808905675076411
"603",0.0843904530072165
"604",0.17250629644214
"605",0.0621207871718582
"606",0.155244771777984
"607",0.088271682224957
"608",0.153514110654623
"609",0.563556925956608
"610",0.198404295845455
"611",0.557059306174279
"612",0.154002854834005
"613",0.205198672472635
"614",0.111405237005067
"615",0.17622379401716
"616",0.109785508304398
"617",0.182963172958496
"618",0.0976569327970807
"619",0.0358032412017578
"620",0.154652699705211
"621",0.109494626048533
"622",0.160355664195807
"623",0.108995466186839
"624",0.193345517879618
"625",0.0963279782310077
"626",0.203629616607023
"627",0.252382037712555
"628",0.220247531393191
"629",0.026597363816035
"630",0.163040026998602
"631",0.379745829960851
"632",0.2072793942268
"633",0.399612356415855
"634",0.254695328317804
"635",0.382193515304313
"636",0.09905151697385
"637",0.0650249965563375
"638",0.278169645299525
"639",0.117033850102546
"640",0.0580434620113396
"641",0.135562772289903
"642",0.074613262832499
"643",0.124002229893066
"644",0.00511651472384638
"645",0.0629943349500346
"646",0.020667596942071
"647",0.0741874091916486
"648",0.0610152111489463
"649",0.0646284437795707
"650",0.0842585450582056
"651",0.277014910139332
"652",0.0703189022433073
"653",0.0763790273280834
"654",0.16910498150009
"655",0.0745696539203943
"656",0.0482871752820938
"657",0.192874217265078
"658",0.118634585500174
"659",0.127761750601569
"660",0.0851706200488117
"661",0.152826315217759
"662",0.0708916206088078
"663",0.215198159977816
"664",0.12011480172253
"665",0.0795197700102016
"666",0.145075029313478
"667",0.0928944791910165
"668",0.125498015578257
"669",0.151462401441156
"670",0.196865261652391
"671",0.163424001667662
"672",0.104949532234951
"673",0.12623684425441
"674",0.164365305441506
"675",0.192297065927521
"676",0.170901776800073
"677",0.238640040578633
"678",0.13311966408019
"679",0.439176415781352
"680",0.514012840914472
"681",0.356972102766239
"682",0.84723163778279
"683",0.471337339730941
"684",0.417076320137277
"685",0.117141683048841
"686",0.296898699957061
"687",0.085130975583262
"688",0.0143640187983964
"689",0.0144492543993283
"690",0.0998463524676986
"691",0.0637041510854907
"692",0.216963167624513
"693",0.0442365200347631
"694",0.456580191995984
"695",0.107641211243661
"696",0.227421593879067
"697",0.101950320294845
"698",0.127544931415435
"699",0.10899279919552
"700",0.124398854750679
"701",0.0466723120385609
"702",0.10294179233782
"703",0.0700795217522335
"704",0.124663355416742
"705",0.0217948692997656
"706",0.0026960759403433
"707",0.0267897115547976
"708",0.0812795878359535
"709",0.067441687135825
"710",0.0803579621331923
"711",0.0897431045840463
"712",0.22340715925708
"713",0.107781408490014
"714",0.16308233845547
"715",0.101307683508284
"716",0.236923182937368
"717",0.128852730253074
"718",0.130582742648817
"719",0.0495925954517995
"720",0.179858578820874
"721",0.324583799786511
"722",0.107436862043963
"723",0.287688173356742
"724",0.0519952663066517
"725",0.153943676459066
"726",0.111117201942636
"727",0.0968827124253179
"728",0.0904271878573183
"729",0.063332069756095
"730",0.135906994372144
"731",0.0714094494097336
"732",0.0619541722952798
"733",0.115265310494373
"734",0.102302651472313
"735",0.0839837368310997
"736",0.126600023599269
"737",0.0203644969827318
"738",0.0343805815352946
"739",0.0344147838969371
"740",0.0567687843226465
"741",0.0352731946973581
"742",0.0904802393603084
"743",0.0805060161918088
"744",0.0137896425734275
"745",0.136082547273683
"746",0.110334079586337
"747",0.124455942781071
"748",0.0988851183398109
"749",0.117392091909422
"750",0.0678464931695109
"751",0.0322421590635429
"752",0.0559343764440947
"753",0.291707437395442
"754",0.147313644161801
"755",0.505992549291225
"756",0.197738665268875
"757",0.104848186564837
"758",0.0237535942213074
